timestep,reward
1,-6.887024
2,-6.8696427
3,-6.771318
4,-10.284355
5,-10.148893
6,-6.303807
7,-6.1717954
8,-6.0824766
9,-6.0474944
10,-6.0606947
11,-6.090692
12,-6.102484
13,-6.0636735
14,-5.9457383
15,-5.730591
16,-8.551333
17,-2.2982454
18,-0.9371489
19,0.33048776
20,-12.2122
21,1.8370351
22,1.8297856
23,1.3316191
24,-10.524111
25,-0.55549777
26,-1.6784023
27,-15.947771
28,-19.778719
29,-23.571043
30,-27.481653
31,-38.3824
32,-39.49547
33,-40.377563
34,-47.07291
35,-46.1
36,-53.42752
37,-51.130432
38,-46.1
39,-46.1
40,-49.488277
41,-52.996704
42,-55.149612
43,-46.1
44,-46.1
45,-54.44043
46,-46.1
47,-46.1
48,-6.887024
49,-9.633051
50,-9.546848
51,-9.164089
52,-9.593981
53,-6.300076
54,-6.1621003
55,-6.062529
56,-9.019229
57,-6.005885
58,-9.134674
59,-5.992514
60,-12.381374
61,-5.7503724
62,-10.105321
63,-11.146612
64,-1.140972
65,-4.861798
66,1.3082644
67,1.8673877
68,1.7092595
69,0.805732
70,-0.6993555
71,-8.667736
72,-20.638689
73,-25.363344
74,-29.317495
75,-37.547188
76,-36.085064
77,-39.413795
78,-46.377186
79,-45.55758
80,-46.1
81,-46.1
82,-46.1
83,-52.826168
84,-46.1
85,-49.727627
86,-46.1
87,-46.1
88,-46.1
89,-52.124245
90,-6.887024
91,-6.869644
92,-6.771382
93,-6.6265044
94,-6.465225
95,-12.964906
96,-11.707468
97,-6.1522446
98,-6.180298
99,-6.2818036
100,-6.4214826
101,-6.557437
102,-6.6491075
103,-13.090034
104,-6.563679
105,-6.349124
106,-12.07111
107,-8.594577
108,-9.859994
109,-4.1310024
110,1.072735
111,-2.6108027
112,-1.5266057
113,-4.0901093
114,-5.243054
115,-1.0945376
116,-2.5291805
117,-19.68448
118,-29.539057
119,-28.815454
120,-33.39449
121,-38.08181
122,-42.88508
123,-51.880882
124,-46.1
125,-48.70686
126,-46.1
127,-46.1
128,-46.1
129,-46.1
130,-46.1
131,-46.1
132,-46.1
133,-6.887024
134,-12.808197
135,-6.7712173
136,-6.624887
137,-12.371398
138,-6.2904477
139,-13.598335
140,-6.0266385
141,-9.811938
142,-13.782421
143,-5.858011
144,-5.754303
145,-14.918356
146,-5.2373075
147,-4.296548
148,-13.457448
149,0.96503615
150,1.7422578
151,1.851128
152,1.153191
153,-0.34838519
154,-2.4928331
155,-27.365913
156,-32.056313
157,-33.47678
158,-37.37819
159,-46.563393
160,-43.30699
161,-48.55448
162,-48.877472
163,-46.1
164,-46.1
165,-46.1
166,-51.073673
167,-46.1
168,-46.1
169,-46.1
170,-6.887024
171,-11.831116
172,-6.7712445
173,-13.449869
174,-17.064007
175,-14.342626
176,-6.1385236
177,-10.416638
178,-5.8869047
179,-10.398512
180,-8.334011
181,-7.844759
182,-10.122413
183,-0.74402606
184,0.526355
185,-3.0362225
186,1.8917865
187,-5.8564568
188,0.6773888
189,-1.0355579
190,-17.606112
191,-29.298056
192,-31.898062
193,-37.3583
194,-41.57072
195,-48.357433
196,-51.78112
197,-51.6824
198,-46.1
199,-46.1
200,-53.166298
201,-46.1
202,-46.1
203,-46.1
204,-55.265472
205,-6.887024
206,-6.869644
207,-12.768406
208,-6.6259217
209,-6.461633
210,-11.0545
211,-6.1646514
212,-12.289354
213,-6.0217404
214,-6.019731
215,-6.026245
216,-9.08521
217,-9.303814
218,-5.7024
219,-5.3752165
220,-2.0713081
221,-0.6001364
222,0.7155341
223,1.6233459
224,1.8929332
225,1.3996665
226,0.1868526
227,-1.5478705
228,-21.090105
229,-23.339102
230,-27.637846
231,-31.16609
232,-34.228065
233,-37.122875
234,-42.66621
235,-43.1825
236,-45.59902
237,-46.1
238,-48.787685
239,-46.1
240,-46.1
241,-49.368366
242,-46.1
243,-46.1
244,-49.97938
245,-46.1
246,-54.19825
247,-46.1
248,-50.27261
249,-11.020077
250,-6.8695297
251,-6.7702756
252,-12.7246685
253,-6.4486723
254,-6.2747664
255,-10.175447
256,-5.9949937
257,-5.917418
258,-10.067131
259,-5.848227
260,-5.7871656
261,-5.661125
262,-5.4394913
263,-5.103943
264,-1.3589569
265,-0.08481894
266,1.0140542
267,1.7304816
268,1.8739862
269,1.3424484
270,0.17819884
271,-1.4402858
272,-17.169794
273,-22.196608
274,-26.223818
275,-29.533384
276,-35.25964
277,-35.1739
278,-45.87412
279,-41.020786
280,-44.119095
281,-50.28641
282,-52.25552
283,-46.1
284,-51.531864
285,-53.126762
286,-46.1
287,-54.10913
288,-48.623474
289,-48.82163
290,-46.1
291,-49.204575
292,-46.1
293,-46.1
294,-46.1
295,-6.887024
296,-17.513676
297,-6.771089
298,-6.623654
299,-6.451683
300,-6.273297
301,-6.1035156
302,-5.9569364
303,-5.8465543
304,-13.102205
305,-5.7000623
306,-5.6060605
307,-9.870695
308,-8.823809
309,-1.9913012
310,-0.85640967
311,0.2796705
312,-2.9894295
313,1.8160198
314,-9.024146
315,-2.7250676
316,-0.17415056
317,-11.450184
318,-19.236734
319,-28.41083
320,-37.67742
321,-32.108036
322,-38.49245
323,-45.039066
324,-41.167583
325,-44.21366
326,-51.807888
327,-46.1
328,-49.100796
329,-46.1
330,-52.670727
331,-46.1
332,-46.1
333,-46.1
334,-46.1
335,-49.27741
336,-6.887024
337,-6.869644
338,-6.771376
339,-6.6264358
340,-6.4648986
341,-11.572187
342,-6.2006135
343,-6.147952
