timestep,reward
1,0.9
2,0.9
3,0.9
4,0.9
5,0.9
6,0.9
7,0.9
8,0.9
9,0.9
10,0.9
11,0.9
12,0.9
13,0.9
14,0.9
15,0.9
16,0.9
17,0.9
18,0.9
19,0.9
20,-32.595245
21,0.9
22,-5.1
23,-11.267494
24,-44.86405
25,-50.86562
26,-77.26578
27,-112.033714
28,-158.61632
29,-158.111
30,-177.73251
31,-182.7007
32,-184.74144
33,-186.0451
34,-182.7007
35,-182.7007
36,-210.04312
37,-191.06517
38,-182.7007
39,-200.16577
40,-186.88667
41,0.9
42,0.9
43,0.9
44,0.9
45,0.9
46,0.9
47,0.9
48,0.9
49,0.9
50,0.9
51,0.9
52,0.9
53,0.9
54,0.9
55,0.9
56,0.9
57,0.9
58,0.9
59,0.9
60,0.9
61,0.9
62,-18.264877
63,0.9
64,0.9
65,-16.079645
66,-5.1
67,-54.614807
68,-34.56153
69,-57.050896
70,-81.40719
71,-113.78598
72,-133.34637
73,-161.45395
74,-199.39508
75,-189.34406
76,-182.7007
77,-220.69789
78,-182.7007
79,-210.42145
80,-224.87894
81,-182.7007
82,-182.7007
83,-182.7007
84,-190.83437
85,-188.64665
86,-182.7007
87,0.9
88,0.9
89,0.9
90,0.9
91,0.9
92,0.9
93,0.9
94,0.9
95,0.9
96,0.9
97,0.9
98,0.9
99,0.9
100,0.9
101,0.9
102,0.9
103,0.9
104,0.9
105,-46.3209
106,0.9
107,0.9
108,-13.68432
109,-5.1
110,-32.82756
111,-50.15151
112,-68.785706
113,-95.88682
114,-166.35675
115,-149.7057
116,-172.27074
117,-185.16982
118,-197.32513
119,-182.7007
120,-182.7007
121,-202.46475
122,-188.00574
123,-193.45067
124,-182.7007
125,-189.68983
126,-205.20523
127,0.9
128,0.9
129,0.9
130,0.9
131,0.9
132,0.9
133,0.9
134,0.9
135,0.9
136,0.9
137,0.9
138,0.9
139,0.9
140,0.9
141,0.9
142,0.9
143,-28.819199
144,0.9
145,-5.1
146,-10.556846
147,-25.875128
148,-53.464703
149,-95.701645
150,-109.22741
151,-161.449
152,-162.83098
153,-221.38193
154,-182.7007
155,-182.7007
156,-222.38156
157,-214.28065
158,-182.7007
159,-182.7007
160,-189.48776
161,-182.7007
162,-192.1633
163,0.9
164,0.9
165,0.9
166,0.9
167,0.9
168,0.9
169,0.9
170,0.9
171,0.9
172,0.9
173,0.9
174,0.9
175,0.9
176,0.9
177,0.9
178,0.9
179,0.9
180,-1.8844515
181,-16.226072
182,-5.1
183,-5.1
184,-15.072456
185,-33.49686
186,-57.03178
187,-83.040146
188,-116.18055
189,-134.13069
190,-170.30629
191,-177.35245
192,-182.7007
193,-200.93571
194,-182.7007
195,-208.26016
196,-182.7007
197,-182.7007
198,-182.7007
199,-200.21078
200,-182.7007
201,-182.7007
202,-195.00557
203,-191.9042
204,0.9
205,0.9
206,0.9
207,0.9
208,0.9
209,0.9
210,0.9
211,0.9
212,0.9
213,0.9
214,0.9
215,0.9
216,0.9
217,0.9
218,0.9
219,0.9
220,0.9
221,0.9
222,0.9
223,0.9
224,-0.65442383
225,0.9
226,-5.1
227,-8.717375
228,-29.792225
229,-52.99781
230,-76.07697
231,-107.190636
232,-115.466675
233,-140.18477
234,-168.91368
235,-196.40439
236,-221.00247
237,-186.95863
238,-182.7007
239,-182.7007
240,-192.35818
241,-185.03073
242,-182.7007
243,-182.7007
244,-182.7007
245,-182.7007
246,-182.7007
247,-193.51543
248,0.9
249,0.9
250,0.9
251,0.9
252,0.9
253,0.9
254,0.9
255,0.9
256,0.9
257,0.9
258,0.9
259,0.9
260,0.9
261,0.9
262,0.9
263,0.9
264,0.9
265,0.9
266,0.9
267,0.9
268,0.9
269,-5.1
270,-22.694153
271,-24.167791
272,-75.98282
273,-71.49677
274,-101.0371
275,-135.10356
276,-174.49167
277,-204.18199
278,-198.17842
279,-195.09195
280,-199.6864
281,-182.7007
282,-182.7007
283,-183.78001
284,-206.30554
285,-186.91394
286,-197.10417
287,-183.92715
288,-182.7007
289,0.9
290,0.9
291,0.9
292,0.9
293,0.9
294,0.9
295,0.9
296,0.9
297,0.9
298,0.9
299,0.9
300,0.9
301,0.9
302,0.9
303,0.9
304,0.9
305,0.9
306,0.9
307,0.9
308,0.9
309,0.9
310,0.9
311,0.9
312,0.9
313,0.9
314,0.9
315,-44.08972
316,-13.469625
317,-4.1623244
318,-5.675294
319,-5.1
320,-16.553816
321,-37.018982
322,-76.96991
323,-99.23114
324,-155.55836
325,-175.19116
326,-182.7007
327,-182.7007
328,-182.7007
329,-182.7007
330,-182.7007
331,-211.99066
332,-190.94691
333,-182.7007
334,-197.47359
335,-184.83943
336,-182.7007
337,-182.7007
338,0.9
339,0.9
340,0.9
341,0.9
342,0.9
343,0.9
344,0.9
345,0.9
346,0.9
347,0.9
348,0.9
349,0.9
350,0.9
351,0.9
352,0.9
353,-2.7725582
354,0.9
355,-7.7848086
356,-15.691412
357,-5.1
358,-16.4033
359,-36.533047
360,-61.901546
361,-138.88913
362,-126.866264
363,-144.84485
364,-205.14934
365,-182.7007
366,-208.56091
367,-184.64832
368,-219.803
369,-183.40112
370,-182.7007
371,-182.7007
372,-182.7007
373,-182.7007
374,-182.7007
375,-182.7007
376,0.9
377,0.9
378,0.9
379,0.9
380,0.9
381,0.9
382,0.9
383,0.9
384,0.9
385,0.9
386,0.9
387,0.9
388,0.9
389,0.9
390,0.9
391,0.9
392,0.9
393,0.9
394,0.9
395,-5.1
396,-24.189772
397,-56.324776
398,-56.194916
399,-76.18159
400,-103.9195
401,-131.52301
402,-158.2844
403,-178.05199
404,-199.19427
405,-190.52458
406,-189.00735
407,-186.37143
408,-228.62274
409,-185.88448
410,-182.7007
411,-193.18092
412,-219.8283
413,-182.7007
414,0.9
415,0.9
416,0.9
417,0.9
418,0.9
419,0.9
420,0.9
421,0.9
422,0.9
423,0.9
424,0.9
425,0.9
426,0.9
427,0.9
428,0.9
429,0.9
430,-19.79981
431,0.9
432,-14.972427
433,-26.909084
434,-25.010353
435,-17.981892
436,-42.32873
437,-64.07641
438,-89.77128
439,-117.0397
440,-143.87778
441,-178.46732
442,-182.7007
443,-188.9025
444,-182.7007
445,-182.7007
446,-182.7007
447,-195.82217
448,-200.9605
449,-182.7007
450,-184.78929
451,-193.33655
452,-197.69485
453,0.9
454,0.9
455,0.9
456,0.9
457,0.9
458,0.9
459,0.9
460,0.9
461,0.9
462,0.9
463,0.9
464,0.9
465,0.9
466,0.9
467,0.9
468,0.9
469,0.9
470,0.9
471,0.9
472,0.9
473,0.9
474,-11.138074
475,-12.138859
476,-14.48531
477,0.9
478,-5.2271585
479,-11.561562
480,-26.769403
481,-55.45709
482,-77.71844
483,-97.70052
484,-142.34903
485,-156.24727
486,-176.21944
487,-208.23344
488,-182.7007
489,-193.1829
490,-182.7007
491,-197.76018
492,-186.06879
493,-183.43091
494,-182.7007
495,-186.36519
496,-182.7007
497,-183.77544
498,-195.12155
499,0.9
500,0.9
501,0.9
502,0.9
503,0.9
504,0.9
505,0.9
506,0.9
507,0.9
508,0.9
509,0.9
510,0.9
511,0.9
512,0.9
513,0.9
514,0.9
515,0.9
516,0.9
517,0.9
518,0.9
519,0.9
520,-25.027332
521,-11.306108
522,-59.37754
523,-54.103214
524,-82.30201
525,-112.76651
526,-150.08284
527,-184.53705
528,-182.7007
529,-183.36896
530,-182.7007
531,-195.96715
532,-185.14214
533,-183.71422
534,-182.7007
535,-182.7007
536,-182.7007
537,-185.17981
538,0.9
539,0.9
540,0.9
541,0.9
542,0.9
543,0.9
544,0.9
545,0.9
546,0.9
