action,blood glucose,reward,meal,risk,time
[[0.]],138.97545,12.38285802960607,0.0,1.6450705001548869,00:03
[[0.]],136.23866,14.279490491416233,0.0,1.5373810359394384,00:06
[[0.]],134.43459,14.171791500311137,0.0,1.469202549792077,00:09
[[0.]],133.28212,14.104331096117033,0.0,1.4252388511439662,00:12
[[0.]],132.55838,14.063299928537623,0.0,1.3964234579630967,00:15
[[0.]],132.07648,14.041181167959799,0.0,1.377277581382374,00:18
[[0.]],131.67192,14.033967216265545,0.0,1.36444569053765,00:21
[[0.]],131.19423,14.039388980338343,0.0,1.3558573479192382,00:24
[[0.]],130.5201,14.054247459909297,0.0,1.3502343396224938,00:27
[[0.]],129.64171,14.068291133404383,0.0,1.346794305415174,00:30
[[0.]],128.71974,14.068710683604117,0.0,1.3450691715642753,00:33
[[0.]],127.9538,14.054722652458063,0.0,1.3447921140807297,00:36
[[0.]],127.54497,14.02831688030342,0.0,1.3458261697542486,00:39
[[0.]],127.67193,13.991273407082748,0.0,1.348118553995291,00:42
[[0.]],128.37363,13.950683327887067,0.0,1.3516710725179861,00:45
[[0.]],129.4789,13.918649956607375,0.0,1.356520745659477,00:48
[[0.]],130.77003,13.899423542375903,0.0,1.3627269995651177,00:51
[[0.]],132.0295,13.89629886177501,0.0,1.370363135247144,00:54
[[0.]],133.0541,13.911675857437256,0.0,1.37951061969115,00:57
[[0.]],133.72653,13.940147227157858,0.0,1.3902552605478053,01:00
[[0.]],134.05823,13.969933989306693,0.0,1.4026846508597686,01:03
[[0.]],134.0892,13.997174140405889,0.0,1.416886476782053,01:06
[[0.]],133.85944,14.020887880963922,0.0,1.4329474142306522,01:09
[[0.]],133.41711,14.039728319558307,0.0,1.450952427256308,01:12
[[0.]],132.86003,14.049125478254496,0.0,1.4709843385772112,01:15
[[0.]],132.36037,14.043188321083111,0.0,1.4931235816001531,01:18
[[0.]],132.10677,14.021599225768947,0.0,1.5174480699764903,01:21
[[0.]],132.28787,13.984597733268165,0.0,1.544033139424617,01:24
[[0.]],133.05899,13.933186726331837,0.0,1.5729515298486918,01:27
[[0.]],134.37634,13.88134331484194,0.0,1.604273385398863,01:30
[[0.]],135.89742,13.856105398578583,0.0,1.6380662571697489,01:33
[[0.]],137.21324,13.86975425172095,0.0,1.6743950984559086,01:36
[[0.]],137.91483,13.928426552696873,0.0,1.713322246378402,01:39
[[0.]],137.65137,14.027048666966207,0.0,1.7549073866031546,01:42
[[0.]],136.4214,14.123535669704426,0.0,1.7992075000333985,01:45
[[0.]],134.74753,14.160687819581995,0.0,1.8462767919445606,01:48
[[0.]],133.2688,14.134579263985046,0.0,1.896166605168228,01:51
[[0.]],132.6242,14.05643358867004,0.0,1.9489253197184473,01:54
[[0.]],133.3858,13.9331752971475,0.0,2.0045982417603687,01:57
[[0.]],135.72414,13.783115561516407,0.0,2.0632274851074826,02:00
[[0.]],139.20752,13.645772700530774,0.0,2.1248518485466255,02:03
[[0.]],143.27037,-5.091973282273884,0.0,2.1895066922646826,02:06
[[0.]],147.34715,-7.175156764686205,0.0,2.257223816523402,02:09
[[0.]],150.87224,-15.901799134408513,0.0,2.328031345519918,02:12
[[0.]],153.28001,-16.973905824705753,0.0,2.4019536191069597,02:15
[[0.]],154.00485,-17.105336592670817,0.0,2.4790110947425665,02:18
[[0.]],152.4811,-16.02547619643775,0.0,2.559220261712171,02:21
[[0.]],148.14305,-6.486752604647195,0.0,2.642593569327567,02:24
[[0.]],143.6516,-4.266701006533122,0.0,2.7291393704668603,02:27
[[0.]],143.28964,-4.60196539187994,0.0,2.818861881487229,02:30
[[0.]],143.44005,-4.7377900672949576,0.0,2.9117611592233823,02:33
[[0.]],144.00899,-5.072232534892086,0.0,3.007833095482613,02:36
[[0.]],144.90268,-5.559414135351784,0.0,3.1070694291702114,02:39
[[0.]],146.02734,-6.1525195304499025,0.0,3.2094577759238563,02:42
[[0.]],147.28917,-6.8040458937686354,0.0,3.314981674908645,02:45
[[0.]],148.59435,-7.466095935639785,0.0,3.4236206522231742,02:48
[[0.]],149.84908,-8.09064288208995,0.0,3.5353503001946516,02:51
[[0.]],150.95955,-15.62973568025424,0.0,3.650142371693556,02:54
[[0.]],151.84904,-16.046593698316986,0.0,3.767964888478316,02:57
[[0.]],152.54329,-16.36810463859308,0.0,3.888782262484645,03:00
[[0.]],153.22176,-16.7061308506601,0.0,4.01255542890106,03:03
[[0.]],154.09807,-17.17348033340103,0.0,4.13924198982153,03:06
[[0.]],155.38583,-17.878636508166252,0.0,4.268796367235099,03:09
[[0.]],157.27037,-18.912889078319633,0.0,4.401169964098035,03:12
[[0.]],159.76718,-20.26190882159607,0.0,4.5363113322381645,03:15
[[0.]],162.63698,-36.76720773693165,0.0,4.674166345856207,03:18
[[0.]],165.5839,-38.26727988613902,0.0,4.8146783794196555,03:21
[[0.]],168.31204,-39.60843837680139,0.0,4.95778848878257,03:24
[[0.]],170.54944,-40.65413882840585,0.0,5.103435594414477,03:27
[[0.]],172.16708,-41.362359913855045,0.0,5.251556665676011,03:30
[[0.]],173.25064,-41.8141188319114,0.0,5.402086905140928,03:33
[[0.]],173.93344,-42.08650972819242,0.0,5.554959932028592,03:36
[[0.]],174.34882,-42.24758553592458,0.0,5.710107963881178,03:39
[[0.]],174.62486,-42.361190518838654,0.0,5.867461995689012,03:42
