timestep,reward
1,0.09
2,0.07813477
3,0.04686951
4,0.03233704
5,0.03243317
6,0.045928806
7,0.0718306
8,0.07112412
9,0.02638001
10,-0.012111053
11,-0.024568327
12,-0.0072251856
13,0.038754124
14,0.069906466
15,-0.014412075
16,-0.09409577
17,-0.16476762
18,-0.2262449
19,-0.27743852
20,-0.31286713
21,-0.3244554
22,-0.30960938
23,-0.26779687
24,-0.20248389
25,-0.13428055
26,-0.094127804
27,-1.689959
28,-1.7229023
29,-1.7892355
30,-1.8620448
31,-1.8694605
32,-1.7125531
33,-1.51
34,-1.51
35,-1.51
36,-1.51
37,-1.51
38,-1.51
39,-1.51
40,-1.51
41,-1.51
42,-1.51
43,-1.51
44,-1.51
45,-1.51
46,-1.51
47,-4.8036494
48,0.078164525
49,0.04712891
50,0.033396
51,0.035043184
52,0.050622407
53,0.07899536
54,0.06113724
55,0.013938755
56,-0.025309138
57,-0.03475967
58,-0.008069001
59,0.05523209
60,0.02877945
61,-0.08463226
62,-0.19358459
63,-0.28825203
64,-0.3626657
65,-0.41238496
66,-0.43288168
67,-0.4203222
68,-0.37735498
69,-1.9079423
70,-1.8185492
71,-1.7311878
72,-1.6769464
73,-1.6632978
74,-1.6907324
75,-1.7308984
76,-1.6619762
77,-1.51
78,-1.51
79,-1.51
80,-1.51
81,-1.51
82,-1.51
83,-1.51
84,-1.51
85,-1.51
86,-4.8036475
87,0.07811951
88,0.04671387
89,0.03156876
90,0.029958956
91,0.04004273
92,0.060884707
93,0.087754674
94,0.048219148
95,0.014095157
96,0.005334325
97,0.026088566
98,0.07568726
99,0.028878633
100,-0.059871063
101,-0.1438066
102,-0.21741006
103,-0.27879044
104,-0.32560515
105,-0.35237405
106,-0.35212532
107,-0.32397094
108,-0.26914763
109,-1.7924573
110,-1.7151706
111,-1.6682924
112,-1.6595451
113,-1.6897899
114,-1.7550368
115,-1.8131418
116,-1.7161005
117,-1.51
118,-1.51
119,-1.51
120,-1.51
121,-1.51
122,-1.51
123,-1.51
124,-1.51
125,-1.51
126,-1.51
127,-1.51
128,-1.51
129,-1.51
130,-1.51
131,-4.8036494
132,0.078164525
133,0.047129672
134,0.033429567
135,0.03522858
136,0.050694127
137,0.07682938
138,0.070159
139,0.03539185
140,0.012814179
141,0.021074526
142,0.0626677
143,0.045088045
144,-0.052134857
145,-0.15851302
146,-0.2522844
147,-0.32531372
148,-0.3756883
149,-0.40368629
150,-0.407723
151,-0.38455367
152,-1.9359777
153,-1.8646536
154,-1.7758209
155,-1.6905407
156,-1.6392347
157,-1.628915
158,-1.6597428
159,-1.6515924
160,-1.5417309
161,-1.51
162,-1.51
163,-1.51
164,-1.51
165,-1.51
166,-1.51
167,-1.51
168,-1.51
169,-1.51
170,-4.8036494
171,0.078164525
172,0.047127385
173,0.0333754
174,0.034869235
175,0.049603123
176,0.07531495
177,0.07005905
178,0.030323643
179,-0.00044494122
180,-0.0022904947
181,0.02893738
182,0.08791184
183,-0.002772674
184,-0.10633026
