timestep,reward
1,0.16210267
2,0.15599343
3,0.020183489
4,-0.11215373
5,-0.4015478
6,-0.32363328
7,-0.36499748
8,-0.31483814
9,-0.2515009
10,-0.47445643
11,-0.26212224
12,-0.19221196
13,-0.3957336
14,-0.4159366
15,0.14156061
16,0.1580857
17,0.14401585
18,0.17403539
19,0.08032408
20,-0.2094946
21,-0.17048885
22,-0.31854802
23,-0.49027446
24,-2.0406618
25,-2.6519988
26,-3.1877797
27,-3.8755379
28,-4.1051593
29,-4.6337166
30,-4.735369
31,-4.6190352
32,-4.61
33,-4.61
34,-4.9461102
35,-4.853303
36,-4.61
37,-4.61
38,-4.8286934
39,-4.61
40,-4.61
41,-4.7189984
42,-4.61
43,-4.61
44,-3.4271657
45,0.15596679
46,0.020543963
47,-0.110315904
48,-0.22412758
49,-0.30833405
50,-0.4561665
51,-0.26068228
52,-0.5103951
53,-0.5386202
54,-0.36279082
55,-0.5120604
56,-0.1517736
57,-0.07385446
58,-0.12842782
59,0.06621351
60,0.06621639
61,0.008769497
62,-0.116349764
63,-0.41308796
64,-0.52131534
65,-2.3433926
66,-3.0256972
67,-3.6179566
68,-4.4293103
69,-4.520667
70,-4.7245846
71,-4.7513666
72,-4.61
73,-4.61
74,-4.9547486
75,-4.61
76,-4.61
77,-4.61
78,-4.61
79,-4.61
80,-4.61
81,-4.61
82,-4.797305
83,-3.2613769
84,-0.012216938
85,0.020118855
86,-0.11212502
87,-0.54435617
88,-0.319032
89,-0.5079956
90,-0.28675383
91,-0.24881847
92,-0.2902569
93,-0.2680516
94,-0.21998613
95,-0.16210355
96,-0.41902524
97,-0.28556448
98,0.07883924
99,0.092783056
100,0.048332207
101,-0.06427898
102,-0.23589435
103,-0.43755096
104,-2.0574052
105,-2.7336648
106,-3.3261166
107,-3.818917
108,-4.238818
109,-4.70616
110,-4.7179627
111,-4.61
112,-4.61
113,-4.61
114,-4.61
115,-4.61
116,-4.61
117,-4.61
118,-4.97644
119,-4.61
120,-4.882288
121,-4.61
122,-4.765143
123,-4.61
124,-4.61
125,-3.3676972
126,0.15598464
127,-0.13977742
128,-0.111600235
129,-0.40286916
130,-0.31755754
131,-0.3503932
132,-0.28610232
133,-0.24640262
134,-0.2862676
135,-0.2600807
136,-0.2030463
137,-0.3958403
138,-0.029518113
139,-0.21037906
140,0.15695633
141,0.17549703
142,0.13563858
143,0.035327792
144,-0.370056
145,-0.28087118
146,-0.47176266
147,-2.3864377
148,-2.7190595
149,-3.6033938
150,-3.7262719
151,-4.1425724
152,-4.5257397
153,-4.7230725
154,-4.748238
155,-4.61
156,-4.61
157,-4.61
158,-4.61
159,-4.7176356
160,-4.61
161,-4.61
162,-4.9159346
163,-4.61
164,-4.7129107
165,-4.8473315
166,-4.61
167,-3.2613773
168,0.15601514
169,0.019901097
170,-0.5558026
171,-0.3675619
172,-0.33205253
173,-0.37731937
174,-0.746681
175,-0.2620528
176,-0.3061464
177,-0.42902693
178,-0.22530003
179,-0.16053055
180,-0.07972002
181,-0.28546786
182,-0.24624546
183,-0.0584457
184,-0.2985627
185,-0.12524484
186,-0.3102222
187,-0.530144
188,-2.3628106
189,-3.0565252
190,-3.6585028
191,-4.1558714
192,-5.1720767
193,-5.0661893
194,-4.61
195,-4.61
196,-4.777282
197,-4.61
198,-4.61
199,-4.61
200,-4.804016
201,-4.61
202,-5.010104
203,-4.7423553
204,-4.7521515
205,-3.2613769
206,-0.014311973
207,0.020057023
208,-0.33145785
209,-0.229936
210,-0.32047057
211,-0.35399842
212,-0.2889862
213,-0.43330985
214,-0.28994578
215,-0.26491722
216,-0.21139167
217,-0.14503746
218,-0.19508268
219,0.05103758
220,0.1201254
221,0.13847724
222,0.100308254
223,-0.00023674965
224,-0.15174231
225,-0.32661068
226,-0.52188504
227,-2.5915048
228,-2.8632073
229,-3.3569515
230,-3.9356022
231,-4.3786254
232,-4.8873477
233,-4.6982017
234,-4.795129
235,-4.61
236,-4.61
237,-4.61
238,-4.61
239,-4.61
240,-4.8894506
241,-4.61
242,-4.61
243,-4.82134
244,-4.61
245,-4.61
246,-4.61
247,-4.729895
248,-4.61
249,-3.4460084
