timestep,reward
1,0.09
2,0.07009644
3,0.079949036
4,0.058977358
5,0.04830994
6,0.049886934
7,0.066345066
8,0.08020539
9,0.030090947
10,-0.033014067
11,-0.1030561
12,-0.17355171
13,-0.2378118
14,-0.28944182
15,-0.3195539
16,-0.31905913
17,-1.4082794
18,-0.83178043
19,-2.829753
20,-3.0846856
21,-1.6570702
22,-2.1959357
23,-2.9831798
24,-4.3192906
25,-7.8878403
26,-9.254607
27,-12.487347
28,-18.840347
29,-17.648155
30,-19.304743
31,-18.27007
32,-19.975292
33,-18.881123
34,-19.587244
35,-18.27007
36,-19.124008
37,-4.5831428
38,0.070201725
39,0.07906021
40,0.05555176
41,0.039896242
42,0.03340897
43,0.037156526
44,0.051732484
45,0.077351995
46,0.066725776
47,0.022440948
48,-0.028370053
49,-0.08376633
50,-0.14104058
51,-0.19245315
52,-0.22656304
53,-0.2381475
54,-0.2234056
55,-3.457782
56,-0.1305452
57,-3.2693923
58,-4.650784
59,-0.695469
60,-2.1546206
61,-1.3221705
62,-2.9518852
63,-5.6128597
64,-12.327279
65,-12.853935
66,-12.974644
67,-14.8534565
68,-18.094715
69,-17.264494
70,-18.33679
71,-19.871937
72,-18.27007
73,-18.27007
74,-18.27007
75,-4.5831428
76,0.07020325
77,0.079013675
78,0.055132143
79,0.038121644
80,0.028578036
81,0.027051397
82,0.033863682
83,0.04931473
84,0.073454134
85,0.07395081
86,0.032836765
87,-0.016047053
88,-0.070063174
89,-0.12058617
90,-0.15540482
91,-0.16997659
92,-0.1624006
93,-0.13369995
94,-0.09843536
95,-0.079829946
96,-0.40932083
97,-1.4893677
98,-3.8458142
99,-0.21310136
100,-0.83957875
101,-5.0656133
102,-2.9283571
103,-4.858347
104,-6.4582787
105,-9.435985
106,-9.013188
107,-12.720956
108,-14.045807
109,-18.569561
110,-20.225098
111,-20.394527
112,-18.27007
113,-18.27007
114,-18.27007
115,-18.27007
116,-19.682852
117,-20.259714
118,-4.5831428
119,0.07020325
120,0.07900452
121,0.055064242
122,0.037895054
123,0.028165285
124,0.026688233
125,0.03412384
126,0.05074982
127,0.07586121
128,0.072079316
129,0.033818666
130,-0.010185391
131,-0.058127746
132,-0.10245682
133,-0.13233009
134,-0.14443947
135,-0.13751236
136,-0.112405166
137,-0.08286224
138,-0.07103783
139,-0.0815763
140,-0.114859164
141,-0.16865784
142,-6.073086
143,-3.5082436
144,-0.8464986
145,-2.2771
146,-4.0707307
147,-5.6580634
148,-6.9687977
149,-8.242667
150,-9.847115
151,-12.21309
152,-15.602448
153,-18.318798
154,-19.083664
155,-18.27007
156,-18.27007
157,-18.27007
158,-18.27007
159,-18.27007
160,-18.27007
161,-18.413307
162,-4.5831423
163,0.07016129
164,0.07939057
165,0.056786958
166,0.04289383
167,0.03934006
168,0.047717135
169,0.06896652
170,0.07695984
171,0.031883854
172,-0.02086731
173,-0.078438714
174,-0.13829322
175,-0.1968061
