timestep,reward
1,39.21369
2,40.426777
3,31.7645
4,17.45766
5,-2.139718
6,-24.85625
7,-46.54063
8,-61.547264
9,-64.48029
10,-54.648193
11,-37.865604
12,-20.59164
13,-7.5937276
14,-1.6246277
15,-2.4574726
16,-6.458109
17,-9.135814
18,-5.750088
19,6.8849783
20,26.194075
21,44.091583
22,49.059776
23,54.071472
24,46.770046
25,36.79949
26,26.51408
27,15.760196
28,2.8196294
29,-15.194873
30,-41.331432
31,-77.39399
32,-124.56651
33,-183.53217
34,-254.13957
35,-334.40033
36,-419.4077
37,0.3675639
38,-17.836832
39,-19.731451
40,-20.426208
41,-5.5313587
42,-20.566618
43,-5.9594364
44,-7.125437
45,-24.517336
46,-13.693045
47,-20.44792
48,-49.63638
49,-48.01618
50,-26.0
51,-41.0
52,-41.0
53,-26.0
54,-26.0
55,-26.0
56,-26.0
57,-41.0
58,-41.0
59,-26.0
60,-41.0
61,-41.0
62,-41.0
63,-26.0
64,-26.0
65,-41.0
66,-26.0
67,-26.0
68,-41.0
69,-41.0
70,-26.0
71,-26.0
72,-26.0
73,-26.0
74,-26.0
75,-26.0
76,-26.0
77,-41.0
78,-26.0
79,-41.0
80,-26.0
81,-41.0
82,-26.0
83,-26.0
84,-26.0
85,-26.0
86,-41.0
87,-41.0
88,-41.0
89,-41.0
90,-26.0
91,34.213715
92,40.42704
93,31.766962
94,17.4688
95,-2.1117098
96,-24.817188
97,-46.536434
98,-61.693447
99,-64.965965
100,-55.707554
101,-39.74735
102,-23.55214
103,-11.957973
104,-7.9648304
105,-11.74287
106,-19.86008
107,-27.624304
108,-29.472622
109,-20.614391
110,-1.791494
111,19.821619
112,37.686848
113,48.732998
114,53.53715
115,54.870953
116,55.041824
117,54.91617
118,54.579247
119,53.614464
120,51.07115
121,45.74788
122,36.454826
123,22.194822
124,2.3932445
125,-22.566505
126,-50.659973
127,-78.408615
128,-101.307755
129,-114.872284
130,-117.676216
131,-113.14474
132,-105.960045
133,-100.602776
134,-101.30176
135,-112.57684
136,-140.39774
137,-193.97723
138,-293.22263
139,-397.8948
140,-432.78885
141,3.2196105
142,-12.910283
143,1.2650572
144,0.66045725
145,0.19441943
146,-0.21148925
147,-0.63316965
148,-1.1448057
149,-1.8065761
150,-2.6018584
151,-3.4180272
152,-4.1564937
153,-4.727618
154,-20.044668
155,-5.0348983
156,-4.643749
157,-3.8205042
158,-2.5197656
159,-15.744002
160,1.2771542
161,3.0819526
162,-10.700272
163,-10.433272
164,3.5560806
165,-13.600322
166,-1.0940768
167,-3.0902247
168,-3.763198
169,-2.5038247
170,0.3313354
171,3.4825764
172,6.138727
173,-409.63962
174,-401.25113
175,-428.34818
176,1.7899065
177,-17.448044
178,-6.780838
179,-10.507884
180,-13.237526
181,-15.096977
182,-16.195301
183,-31.606619
184,-16.41294
185,-30.697977
186,-29.54083
187,-13.010923
188,-11.165692
189,-6.8365555
190,-16.090008
191,-0.7206167
192,-1.5423242
193,-18.643295
194,-6.877312
195,-10.980263
196,-15.605631
197,-20.324295
198,-24.608793
199,-27.85616
200,-28.923811
201,-27.292244
202,-26.0
203,-40.10358
204,-20.974552
205,-15.021632
206,-26.048742
207,-8.107742
208,-6.4068947
209,-6.3427677
210,-7.900993
211,-25.395498
212,-13.254203
213,-15.830654
214,-17.452663
215,-32.968437
216,-17.926506
217,-32.692276
218,-17.502424
219,-17.564192
220,-18.066776
221,-19.201134
222,-21.195919
223,-39.344826
224,-28.285042
225,-29.19085
226,-26.0
227,-26.0
228,-26.0
229,-26.0
230,-41.0
231,-41.0
232,-26.0
233,-41.0
234,-26.0
235,-25.181852
236,-23.751863
237,-40.45841
238,-42.489384
239,-25.448345
240,-22.418007
241,-19.45903
242,-21.728067
243,-24.684467
244,-27.666464
245,-27.983261
246,-26.0
247,-26.0
248,-26.0
249,-26.0
250,-26.0
251,-26.0
252,-26.0
253,-26.0
254,-26.0
255,-26.0
256,-41.0
257,-26.0
258,-26.0
259,-26.0
260,34.21369
261,40.426407
262,31.758896
263,17.419207
264,-2.3057535
265,-25.373814
266,-47.81185
267,-64.15497
268,-69.09987
269,-61.896515
270,-48.249382
271,-34.59562
272,-26.009367
273,-26.154797
274,-35.9953
275,-52.2494
276,-69.6204
277,-81.06784
278,-79.45417
279,-63.387794
280,-39.702835
281,-15.906137
282,2.8663647
283,14.310869
284,19.12951
285,20.01747
286,19.337065
287,19.238197
288,21.681263
289,27.354689
290,35.103573
291,43.260365
292,50.17339
293,54.38096
294,54.83313
295,51.390682
296,45.151962
297,38.25826
298,33.237522
299,31.423922
300,31.910526
