timestep,reward
1,-9.446513
2,-9.614048
3,-4.4702187
4,-9.131849
5,-8.674871
6,-3.168621
7,-2.6774983
8,-2.2621002
9,-1.9790056
10,-1.8742278
11,-1.9810355
12,-7.3336625
13,-7.968593
14,-8.902193
15,-10.025872
16,-6.057418
17,-6.704622
18,-6.6858807
19,-10.77402
20,-9.014864
21,-6.7968717
22,0.50871384
23,2.5655901
24,4.0889
25,5.0405045
26,-188.76276
27,-159.91211
28,-133.46378
29,-83.94793
30,-30.868979
31,7.45851
32,40.431694
33,59.071335
34,56.20082
35,48.42051
36,30.248726
37,7.5785484
38,-21.52507
39,-61.32223
40,-116.59635
41,-189.96893
42,-3.3094027
43,-16.66562
44,-25.297745
45,-34.02665
46,-42.65805
47,-44.66448
48,-45.34496
49,-41.5
50,-41.5
51,-41.5
52,-41.5
53,-41.5
54,-46.5
55,-46.5
56,-41.5
57,-41.5
58,-41.5
59,-46.5
60,-41.5
61,-46.5
62,-46.5
63,-46.5
64,-46.5
65,-41.5
66,-41.5
67,-41.5
68,-46.5
69,-41.5
70,-41.5
71,-41.5
72,-46.5
73,-46.5
74,-46.5
75,-46.5
76,-46.5
77,-46.5
78,-46.5
79,-41.5
80,-46.5
81,-46.5
82,-41.5
83,-46.5
84,-46.5
85,-41.5
86,-41.5
87,-41.5
88,-41.5
89,-41.5
90,-41.5
91,-41.5
92,-41.5
93,-46.5
94,-46.5
95,-41.5
96,-41.5
97,-41.5
98,-41.5
99,-41.5
100,-41.5
101,-41.5
102,-41.5
103,-46.5
104,-41.5
105,-14.446513
106,-4.614048
107,-4.4702773
108,-4.1324515
109,-3.6777737
110,-8.17797
111,-7.7012672
112,-7.3130503
113,-7.073565
114,-2.0289156
115,-2.2074785
116,-2.6339536
117,-3.3325288
118,-4.3069425
119,-5.4379654
120,-11.437301
121,-7.0137367
122,-11.893427
123,-10.860723
124,-3.9732306
125,-1.6281934
126,-4.2024007
127,-2.036202
128,4.5822067
129,-189.604
130,-162.74341
131,-143.98627
132,-108.91165
133,-67.27248
134,-18.338196
135,20.368698
136,44.09689
137,54.55173
138,54.94905
139,46.884464
140,24.622408
141,8.854407
142,-17.418766
143,-53.37273
144,-103.64906
145,-170.84859
146,-1.125352
147,-9.146048
148,-22.460985
149,-30.888344
150,-34.230663
151,-47.26303
152,-46.079758
153,-42.452724
154,-41.5
155,-46.5
156,-41.5
157,-46.5
158,-41.5
159,-41.5
160,-41.5
161,-41.5
162,-40.815662
163,-45.483242
164,-42.20662
165,-41.529907
166,-41.5
167,-46.5
168,-46.5
169,-41.5
170,-46.5
171,-46.5
172,-46.5
173,-41.5
174,-41.5
175,-41.5
176,-46.5
177,-41.5
178,-46.5
179,-41.5
180,-41.5
181,-41.5
182,-41.5
183,-41.5
184,-46.5
185,-41.5
186,-41.5
187,-46.5
188,-41.5
189,-46.5
190,-41.5
191,-41.5
192,-41.5
193,-41.5
194,-46.5
195,-41.5
196,-46.5
197,-46.5
198,-41.5
199,-46.5
200,-46.5
201,-41.5
202,-41.5
203,-46.5
204,-41.5
205,-46.5
206,-46.5
207,-46.5
208,-41.5
209,-46.5
210,-46.5
211,-41.5
212,-41.5
213,-41.5
214,-41.5
215,-41.5
216,-46.5
217,-41.5
218,-41.5
219,-41.5
220,-46.5
221,-41.5
222,-14.446513
223,-9.614048
224,-4.4702487
225,-9.132186
226,-8.676364
227,-3.1726506
228,-2.6851125
229,-2.2730215
230,-1.990968
231,-1.8825183
232,-6.978247
233,-2.3096337
234,-2.9102886
235,-3.7938893
236,-4.8508024
237,-10.80132
238,-6.3602047
239,-6.2570486
240,-5.277588
241,-3.478969
242,-1.2577374
243,-3.9919074
244,-2.0240197
245,4.3543057
246,0.09766497
247,-189.9357
248,-181.86757
249,-161.41357
250,-120.88735
251,-77.08727
252,-26.722013
253,14.772268
254,42.13273
255,60.67296
256,64.707245
257,63.354492
258,58.108974
259,43.153828
260,25.526888
261,0.89378244
262,-44.464314
263,-108.314926
264,-197.29417
265,-9.619879
266,-23.581758
267,-27.516727
268,-36.195797
269,-39.35897
270,-45.011093
271,-49.3878
272,-41.5
273,-46.5
274,-41.5
275,-46.5
276,-41.5
277,-41.5
278,-44.97019
279,-37.06565
280,-38.564114
281,-47.028687
282,-47.907894
283,-41.5
284,-41.5
285,-46.5
286,-41.5
287,-46.5
288,-41.5
289,-41.5
290,-46.5
291,-46.5
292,-41.5
293,-46.5
294,-41.5
295,-46.5
296,-41.5
297,-41.5
298,-41.5
299,-41.5
300,-46.5
