timestep,reward
1,8.003537
2,11.938539
3,15.607063
4,21.332954
5,27.042637
6,31.340797
7,33.340775
8,32.22908
9,26.865763
10,16.662788
11,3.7004294
12,-7.400671
13,-10.383159
14,-0.4223734
15,19.743618
16,39.897873
17,52.205353
18,55.171135
19,53.022755
20,51.205036
21,51.43022
22,52.736187
23,53.887424
24,54.408306
25,54.44329
26,54.179516
27,53.766758
28,53.5196
29,53.785965
30,54.437355
31,54.898193
32,54.940018
33,54.85484
34,54.98264
35,54.87043
36,53.18629
37,48.597694
38,40.4561
39,29.096085
40,15.309474
41,-0.69090056
42,-19.132105
43,-40.504467
44,-65.54259
45,-95.22725
46,-130.80939
47,-173.85521
48,-226.308
49,-301.63782
50,-414.39038
51,-18.233698
52,-26.00331
53,-31.846153
54,-35.96635
55,-23.589224
56,-24.951487
57,-25.289383
58,-39.82812
59,-38.773346
60,-37.297398
61,-20.540047
62,-33.637836
63,-16.725843
64,-14.948335
65,-28.509207
66,-27.689556
67,-12.773033
68,-29.052313
69,-16.805592
70,-21.129648
71,-26.860245
72,-48.8402
73,-56.934
74,-50.97615
75,-73.91381
76,-60.259064
77,-57.0
78,-57.0
79,-72.0
80,-72.0
81,-57.0
82,-57.0
83,-57.0
84,-72.0
85,-57.0
86,-72.0
87,-57.0
88,-57.0
89,-57.0
90,-72.0
91,-72.0
92,-72.0
93,-72.0
94,-72.0
95,-72.0
96,-57.0
97,-72.0
98,-72.0
99,-57.0
100,-72.0
101,-72.0
102,-57.0
103,-57.0
104,-72.0
105,-57.0
106,-72.0
107,-72.0
108,-72.0
109,-57.0
110,-57.0
111,-72.0
112,-57.0
113,3.003537
114,11.938631
115,15.608717
116,21.344946
117,27.089432
118,31.464634
119,33.608067
120,32.762264
121,27.913479
122,18.683659
123,7.371672
124,-1.2970395
125,-1.3024701
126,11.27514
127,32.164722
128,44.727016
129,50.1963
130,42.199043
131,31.740187
132,16.818584
133,5.164282
134,-4.602456
135,-15.739925
136,-32.48209
137,-58.064766
138,-92.218475
139,-132.45428
140,-174.36244
141,-212.26921
142,-242.97969
143,-269.0718
144,-295.416
145,-327.9241
146,-373.09857
147,-434.87982
148,-18.101175
149,-26.461477
150,-34.678535
151,-42.170856
152,-48.665375
153,-39.36104
154,-59.480015
155,-64.22228
156,-53.793575
157,-57.948986
158,-59.136307
159,-72.0
160,-72.0
161,-57.0
162,-57.0
163,-72.0
164,-57.0
165,-72.0
166,-72.0
167,-72.0
168,-72.0
169,-72.0
170,-57.0
171,-57.0
172,-57.0
173,-57.0
174,-57.0
175,-57.0
176,-57.0
177,-72.0
178,-57.0
179,-57.0
180,-72.0
181,-72.0
182,-72.0
183,-57.0
184,-57.0
185,-57.0
186,-72.0
187,-72.0
188,-72.0
189,-57.0
190,-57.0
191,-72.0
192,3.003537
193,11.938539
194,15.607063
195,21.332474
196,27.03831
197,31.321768
198,33.283756
199,32.09513
200,26.597618
201,16.203808
202,3.0697076
203,-8.011185
204,-10.572738
205,0.2863077
206,21.532032
207,42.261036
208,48.821175
209,54.216255
210,48.0225
211,41.800907
212,38.100418
213,36.17849
214,34.11152
215,29.633
216,20.993032
217,8.100253
218,-7.958553
219,-24.887577
220,-39.552544
221,-50.305935
222,-58.99475
223,-68.80478
224,-83.51673
225,-107.45892
226,-143.8585
227,-192.68553
228,-252.15933
229,-318.94125
230,-388.28384
231,2.5010343
232,-3.881552
233,-9.750349
234,-15.264832
235,-35.590656
236,-25.899908
237,-31.373388
238,-52.20482
239,-43.606815
240,-53.063175
241,-61.971313
242,-58.1867
243,-57.0
244,-57.0
245,-72.0
246,-57.0
247,-57.0
248,-72.0
249,-72.0
250,-57.0
251,-72.0
252,-72.0
253,-57.0
254,-69.76717
255,-49.23974
256,-46.115578
257,-43.930656
258,-42.746765
259,-42.86027
260,-59.561626
261,-62.938587
262,-67.80617
263,-72.94178
264,-59.301846
265,-57.0
266,-72.0
267,-72.0
268,-57.0
269,-72.0
270,-72.0
271,-57.0
272,-72.0
273,-72.0
274,-57.0
275,-57.0
276,-57.0
277,-57.0
278,-72.0
279,-57.0
280,-57.0
281,-57.0
282,-57.0
283,-57.0
284,-72.0
285,-72.0
286,-72.0
287,-57.0
288,-57.0
289,-57.0
290,-72.0
291,-72.0
292,-72.0
293,3.0035372
294,11.939723
295,15.617761
296,21.381151
297,27.184313
298,31.665804
299,33.994736
300,33.475475
