timestep,reward
1,-2.240098
2,-2.4682322
3,-5.151295
4,-5.264575
5,-5.3946257
6,-5.5393248
7,-5.695613
8,-5.859688
9,-6.026674
10,-9.320255
11,-6.331369
12,-6.4415207
13,-12.790439
14,-10.789662
15,-6.443568
16,-6.3318295
17,-6.187074
18,-12.6211815
19,-5.8631988
20,-5.7093015
21,-9.37331
22,-5.4317307
23,-5.30755
24,-12.456648
25,-8.139841
26,-2.2504535
27,-1.9519511
28,-1.6483806
29,-5.2414722
30,-6.95057
31,-0.6011499
32,-0.17486987
33,-5.093992
34,-3.9876723
35,1.2101983
36,-1.6400197
37,1.7665957
38,1.8669732
39,-1.7552365
40,1.8999858
41,-3.4133463
42,1.8995183
43,1.8970803
44,1.8801111
45,1.8010008
46,-1.5703262
47,0.7993016
48,-0.902547
49,-19.252445
50,-21.072393
51,-16.022516
52,-16.681925
53,-17.707422
54,-19.08639
55,-20.807863
56,-22.862055
57,-29.268877
58,-27.934095
59,-30.925104
60,-36.849174
61,-37.353416
62,-50.083992
63,-43.039726
64,-45.077248
65,-46.1
66,-51.103462
67,-46.1
68,-46.1
69,-51.263176
70,-46.1
71,-46.1
72,-52.487255
73,-46.1
74,-46.1
75,-46.1
76,-51.97943
77,-46.1
78,-46.1
79,-46.1
80,-52.32244
81,-51.333443
82,-46.1
83,-46.1
84,-50.695404
85,-46.1
86,-46.1
87,-46.1
88,-51.25215
89,-46.1
90,-46.1
91,-46.1
92,-51.009163
93,-50.06473
94,-46.1
95,-52.005344
96,-51.058544
97,-46.1
98,-46.1
99,-46.1
100,-54.503834
101,-52.10612
102,-52.44885
103,-46.1
104,-52.433372
105,-46.1
106,-46.1
107,-46.1
108,-57.708363
109,-52.60728
110,-46.1
111,-49.41237
112,-46.1
113,-2.240098
114,-2.4682322
115,-5.151295
116,-5.264575
117,-5.3946257
118,-5.5393248
119,-5.695613
120,-5.859683
121,-6.026631
122,-8.93878
123,-11.601358
124,-6.439729
125,-6.500088
126,-9.365904
127,-6.4299483
128,-10.8010845
129,-6.1526794
130,-5.9765306
131,-10.909523
132,-14.622131
133,-10.186325
134,-5.297249
135,-10.784352
136,-5.039194
137,-7.161401
138,-1.5053247
139,-14.565426
140,-0.72033846
141,-4.5336947
142,-2.5412273
143,-3.548501
144,-7.8850126
145,1.3493643
146,1.6750833
147,1.8685932
148,-0.6630415
149,1.7299482
150,-5.1780825
151,1.2166657
152,1.0378977
153,0.93354666
154,0.85697544
155,0.74571526
156,0.52165174
157,0.071281336
158,-0.79481137
159,-2.4039755
160,-23.062193
161,-40.977562
162,-29.408346
163,-29.304895
164,-29.551565
165,-30.144262
166,-31.07973
167,-38.346947
168,-40.25463
169,-46.108116
170,-38.190193
171,-46.080887
172,-43.6112
173,-45.732845
174,-46.1
175,-46.1
176,-46.1
177,-50.571968
178,-51.62182
179,-54.33761
180,-62.891014
181,-46.1
182,-46.1
183,-49.288322
184,-49.724625
185,-51.44607
186,-49.232613
187,-46.1
188,-46.1
189,-54.82925
190,-46.1
191,-46.1
192,-46.1
193,-51.17598
194,-56.644867
195,-52.661297
196,-46.1
197,-57.054398
198,-46.1
199,-46.1
200,-46.1
201,-46.1
202,-49.556572
203,-46.1
204,-46.1
205,-46.1
206,-50.145897
207,-46.1
208,-49.534775
209,-2.240098
210,-7.286084
211,-12.450333
212,-5.264418
213,-5.3937545
214,-5.5361876
215,-8.879879
216,-5.8410964
217,-5.9912367
218,-6.127426
219,-9.4221115
220,-6.2974687
221,-6.299487
222,-6.2268033
223,-6.076471
224,-9.005555
225,-5.601752
226,-5.3128037
227,-2.3412123
228,-1.5125164
229,-0.78336537
230,-0.15460023
231,0.37492278
232,-3.076984
233,-1.6251026
234,1.4253345
235,1.6279917
236,-6.3987293
237,-6.0471015
238,1.8983034
239,1.8849485
240,1.8115429
241,-0.97606957
242,1.4072989
243,1.0337411
244,-3.022665
245,-4.173849
246,-7.780089
247,-0.5725988
248,-0.57621396
249,-0.43517002
250,-0.2576073
251,-0.14129528
252,-0.17530808
253,-11.637893
254,-6.572628
255,-2.5821352
256,-22.805796
257,-28.854246
258,-27.736708
259,-27.069548
260,-26.840818
261,-27.038458
262,-32.528553
263,-32.96303
264,-30.069246
265,-31.853449
266,-34.00669
267,-36.507694
268,-39.26768
269,-42.09641
270,-51.16939
271,-49.60708
272,-46.1
273,-46.1
274,-46.1
275,-46.1
276,-46.1
277,-46.1
278,-46.1
279,-51.377342
280,-55.413635
281,-52.04051
282,-46.1
283,-46.1
284,-46.1
285,-46.1
286,-46.1
287,-46.1
288,-46.1
289,-46.1
290,-52.945084
291,-49.030933
292,-51.01532
293,-46.1
294,-46.1
295,-46.1
296,-46.1
297,-60.15594
298,-46.1
299,-46.1
300,-46.1
301,-52.523323
302,-46.1
303,-46.1
304,-51.12623
305,-46.1
306,-46.1
307,-46.1
308,-46.1
309,-46.1
310,-46.1
311,-49.342613
312,-53.621983
313,-54.273766
314,-46.1
315,-46.1
316,-46.1
317,-51.392963
318,-2.240098
319,-2.468214
320,-5.1512403
321,-5.264305
322,-5.3937683
323,-5.5372405
324,-5.6913724
325,-5.852057
326,-6.014061
327,-6.168681
328,-6.3023877
329,-6.400401
330,-6.4477005
331,-10.929712
332,-6.3472137
333,-6.2104707
334,-6.0377197
335,-5.8458343
336,-11.540567
337,-5.462683
338,-13.062107
339,-5.1153913
340,-2.1810913
341,-1.7688061
342,-5.264008
343,-1.0630275
344,-5.803816
345,-0.43575534
346,-0.13055095
347,0.17835179
348,0.49819055
349,0.8296038
350,1.1633383
351,1.4758135
352,1.7237005
353,1.8657211
354,1.8991932
355,-1.1114074
356,-4.0669627
357,-2.21566
358,-6.7024255
359,1.8173331
360,-1.2847304
361,1.7925555
362,1.6887494
363,-8.630947
364,0.66497624
365,-10.838671
366,-23.316874
367,-8.948468
368,-2.5543146
369,-15.249872
370,-15.98163
371,-17.131235
372,-30.324211
373,-20.633486
374,-35.13838
375,-34.038498
376,-28.678865
377,-36.219734
378,-35.297283
379,-42.36075
380,-41.295036
381,-43.551693
382,-49.5137
383,-55.450005
384,-46.1
385,-46.1
386,-46.1
387,-51.87825
388,-51.816326
389,-46.1
390,-46.1
391,-46.1
392,-46.1
393,-46.1
394,-52.5962
395,-46.1
396,-53.360928
397,-46.1
398,-46.1
399,-46.1
400,-46.1
401,-51.99507
402,-46.1
403,-46.1
404,-46.1
405,-46.1
406,-46.1
407,-46.1
408,-46.1
409,-46.1
410,-46.1
411,-49.587296
412,-51.183693
413,-46.1
414,-46.1
415,-46.1
416,-46.1
417,-46.1
418,-50.681805
419,-55.593204
420,-46.1
421,-46.1
422,-2.240098
423,-2.4682322
424,-5.151295
425,-8.459852
426,-10.367615
427,-5.5392213
428,-5.69503
429,-5.8575635
430,-6.020883
431,-6.175348
432,-11.914516
433,-6.398204
434,-6.434779
435,-15.949074
436,-6.295712
437,-9.159682
438,-5.9200683
439,-5.6833954
440,-13.494004
441,-5.185449
442,-9.713299
443,-1.4522327
444,-0.84790885
445,-0.31015548
446,0.164336
447,0.58156145
448,0.94501483
449,1.2550787
450,1.509997
451,1.7070303
452,1.84074
453,1.8989338
454,-1.2768809
455,1.6981685
456,1.3870587
457,0.945758
458,-13.020078
459,-8.408201
460,-0.29644474
461,-4.9983716
462,-0.28191575
463,-0.1514884
464,-0.070193864
465,-0.129258
466,-0.4357849
467,-1.1568655
468,-2.585905
469,-22.865202
470,-35.642284
471,-27.846846
472,-27.182764
473,-26.942713
474,-32.793167
475,-38.16328
476,-28.665419
477,-38.852707
478,-31.758886
479,-33.865257
480,-36.32379
481,-39.048096
482,-41.849644
483,-52.115784
484,-46.1
485,-46.1
486,-46.1
487,-53.403625
488,-46.1
489,-51.92329
490,-46.1
491,-49.083984
492,-46.1
493,-46.1
494,-46.1
495,-49.02329
496,-46.1
497,-46.1
498,-46.1
499,-49.95753
500,-58.12156
501,-46.1
502,-46.1
503,-46.1
504,-46.1
505,-46.1
506,-46.1
507,-52.826416
508,-46.1
509,-46.1
510,-49.848846
511,-49.472996
512,-46.1
513,-49.66083
514,-46.1
515,-46.1
516,-46.1
517,-46.1
518,-52.456806
519,-46.1
520,-46.1
521,-46.1
522,-46.1
523,-51.310608
524,-46.1
525,-46.1
526,-49.0768
527,-46.1
528,-50.61905
529,-2.240098
530,-2.4682322
531,-5.151291
532,-5.2645354
533,-5.3944306
534,-5.5387025
535,-5.6940994
536,-9.3031645
537,-14.087532
538,-6.1790605
539,-6.3167524
540,-6.418814
541,-11.137924
542,-10.206828
543,-6.3674393
544,-6.224147
545,-11.39345
546,-5.830124
547,-5.610901
548,-5.391902
549,-5.17496
550,-2.1909275
551,-6.0114083
552,-1.0811337
553,-0.6057576
554,-0.1754125
555,0.21557716
556,0.5703989
557,0.89046097
558,1.1771352
559,-7.2056413
560,1.6456736
561,1.808021
562,1.8938339
563,1.8731732
564,1.7376045
565,-4.4316993
566,-1.9624275
567,1.1491967
568,1.120154
569,-4.761106
570,1.2468582
571,-2.175449
572,1.2476403
573,1.0578698
574,0.5884913
575,-0.4207259
576,-2.4486642
577,-25.263803
578,-23.276632
579,-19.382166
580,-19.318125
581,-19.674204
582,-30.719614
583,-26.39661
584,-23.14998
585,-25.075624
586,-27.368952
587,-36.219673
588,-32.91052
589,-41.36487
590,-38.708885
591,-41.18139
592,-43.11068
593,-44.458004
594,-45.408123
595,-45.989597
596,-49.377514
597,-46.1
598,-50.90943
599,-46.1
600,-46.1
601,-46.1
602,-46.1
603,-46.1
604,-46.1
605,-46.1
606,-46.1
607,-46.1
608,-46.1
609,-52.47415
610,-46.1
611,-49.295956
612,-50.134705
613,-46.1
614,-46.1
615,-51.853973
616,-46.1
617,-46.1
618,-46.1
619,-52.227924
620,-46.1
621,-46.1
622,-48.714794
623,-46.1
624,-46.1
625,-50.69196
626,-54.63318
627,-46.1
628,-46.1
629,-48.808064
630,-53.00164
631,-46.1
632,-53.843628
633,-54.268616
634,-46.1
635,-46.1
636,-46.1
637,-46.1
638,-46.1
639,-46.1
640,-46.1
641,-46.1
642,-46.1
643,-54.357124
644,-46.1
645,-52.635796
646,-53.328335
647,-2.240098
