timestep,reward
1,39.85853
2,51.6747
3,53.503944
4,53.659313
5,52.939495
6,51.400166
7,49.22716
8,47.070217
9,45.893436
10,46.203003
11,47.53151
12,49.16721
13,50.54273
14,51.34815
15,51.61722
16,51.672558
17,51.841297
18,52.399273
19,53.429832
20,54.55624
21,55.064964
22,54.44002
23,52.591087
24,49.859528
25,46.612125
26,42.608173
27,37.0276
28,28.438623
29,14.645848
30,-6.7463303
31,-37.004795
32,-76.208626
33,-123.12939
34,-175.24939
35,-229.87805
36,-285.515
37,-341.1036
38,-395.71143
39,3.6964977
40,1.2697524
41,-0.7822214
42,-17.402117
43,-18.539515
44,-4.1508603
45,-4.202138
46,-3.669309
47,-2.5364566
48,-0.79269546
49,-2.5937471
50,-10.378358
51,-12.974233
52,-14.0372715
53,-13.99105
54,-28.236351
55,-12.11376
56,-10.897291
57,-9.812466
58,-9.063191
59,-8.827555
60,-9.145748
61,-9.902539
62,-26.049835
63,-12.561702
64,-14.38805
65,-31.354641
66,-18.126678
67,-19.387922
68,-34.843006
69,-19.279146
70,-17.802748
71,-15.815805
72,-13.541505
73,-11.098542
74,-23.588373
75,-6.1848288
76,-4.1412663
77,-2.6778324
78,-17.03896
79,-2.461359
80,-3.912709
81,-5.9867797
82,-23.308226
83,-25.489243
84,-27.145226
85,-13.120244
86,-13.567802
87,-13.587735
88,-13.242586
89,-12.610743
90,-26.874928
91,-11.32325
92,-11.179443
93,-11.654934
94,-12.989073
95,-15.472234
96,-19.485945
97,-40.59207
98,-45.74883
99,-37.480312
100,-12.266896
101,-9.679007
102,-20.785397
103,-7.8428483
104,-11.246434
105,-30.751587
106,-20.800446
107,-25.584929
108,-29.046968
109,-44.128353
110,-41.327858
111,-41.0
112,-40.248737
113,-22.982822
114,-36.197685
115,-35.63744
116,-20.771233
117,-21.762653
118,-23.874073
119,-27.296354
120,-28.84697
121,-26.0
122,-41.0
123,-26.0
124,-41.0
125,-26.0
126,-26.0
127,-26.0
128,-26.0
129,-26.0
130,-26.0
131,-41.0
132,34.85853
133,51.674427
134,53.50213
135,53.651592
136,52.911808
137,51.31945
138,49.03879
139,46.709198
140,45.306675
141,45.364807
142,46.43327
143,47.803013
144,48.881798
145,49.283596
146,48.94757
147,48.192177
148,47.45008
149,47.232662
150,47.989346
151,49.68724
152,51.709538
153,53.44686
154,54.552288
155,55.001213
156,54.988552
157,54.592407
158,53.5337
159,51.02324
160,45.49799
161,34.75611
162,16.976278
163,-8.723057
164,-41.972416
165,-81.0938
166,-124.011635
167,-169.5104
168,-216.78334
169,-265.1675
170,-314.04526
171,-362.495
172,-408.986
173,-11.260244
174,-12.983487
175,-14.223234
176,-14.923659
177,-15.039874
178,-14.539024
179,-13.398278
180,-0.622047
181,-28.776619
182,-12.102993
183,-13.843458
184,-14.397225
185,-14.16065
186,-28.4875
187,-27.673515
188,-26.965677
189,-11.585158
190,-11.721926
191,-12.417051
192,-13.545463
193,-15.05701
194,-31.927773
195,-19.108604
196,-36.413208
197,-23.474588
198,-24.944044
199,-40.49294
200,-24.890934
201,-23.29133
202,-36.194122
203,-18.866459
204,-16.436394
205,-29.001802
206,-11.735631
207,-9.889818
208,-8.668855
209,-23.309479
210,-24.048777
211,-25.834234
212,-28.216688
213,-15.8082285
214,-18.202488
215,-34.985504
216,-21.004164
217,-36.461624
218,-21.47719
219,-21.121485
220,-20.485716
221,-34.78576
222,-34.351147
223,-34.412678
224,-20.184263
225,-21.92268
226,-24.966084
227,-28.324734
228,-28.330183
229,-26.0
230,-26.0
231,-21.811663
232,-28.771618
233,-29.184858
234,-17.511288
235,-36.915375
236,-42.370586
237,-30.185186
238,-26.897625
239,-41.0
240,-26.0
241,-41.0
242,-41.0
243,34.85853
244,51.674427
245,53.502007
246,53.65035
247,52.9038
248,51.283142
249,48.918972
250,46.4063
251,44.693153
252,44.324913
253,44.880886
254,45.666836
255,46.04456
256,45.475727
257,43.69624
258,40.939133
259,37.69743
260,34.723297
261,32.909817
262,32.67864
263,33.560913
264,34.85946
265,35.91895
266,36.234222
267,35.82494
268,35.46769
269,36.119244
270,38.62034
271,43.254505
272,48.9855
273,53.611206
274,55.10252
275,52.226353
276,44.78827
277,33.38102
278,18.648806
279,1.1424373
280,-18.620386
281,-40.117664
282,-62.654606
283,-85.186035
284,-106.47932
285,-125.22785
286,-140.1285
287,-149.96083
288,-153.66583
289,-150.43481
290,-139.811
291,-154.5898
292,-235.68169
293,-291.481
294,-335.01166
295,-361.5807
296,-373.60828
297,-374.75415
298,-369.2664
299,-361.54803
300,-355.93097
301,-356.37186
302,-365.18964
303,-382.36853
304,-407.56476
305,-440.585
306,2.3190093
307,-0.056600872
308,-2.3368857
309,-4.240178
310,-5.4905457
311,-5.860293
312,-5.3486824
313,-19.209684
314,-2.6297088
315,-0.7417487
316,1.3269765
317,-11.614304
318,5.165926
319,-430.22067
320,-414.73093
321,-418.11523
322,-441.34204
323,-12.587716
324,-0.16089053
325,-2.6463249
326,-4.668008
327,-6.051
328,-21.901972
329,-7.3029647
330,-22.30953
331,-21.993164
332,-6.522581
333,-6.1729736
334,-6.1756716
335,-21.75126
336,-8.141431
337,-10.628707
338,-14.569815
339,-20.466722
340,-33.95272
341,-38.567486
342,-6.0992317
343,-21.952713
344,-17.544207
345,-4.3762474
346,-7.659841
347,-27.085453
348,-17.078104
349,-36.847115
350,-40.38869
351,-26.711159
352,-25.801172
353,-23.905329
354,-21.8558
355,-20.090403
356,-18.866634
357,-33.283493
358,-18.37009
359,-19.292831
360,-36.304535
361,-39.636524
362,-28.373901
363,-28.773304
364,-26.0
365,-26.0
366,-26.0
367,-26.0
368,-26.0
369,-41.0
370,-41.0
371,-26.0
372,-26.0
373,-41.0
374,-41.0
375,-26.0
376,-41.0
377,-26.0
378,34.85853
379,51.674427
380,53.502
381,53.650295
382,52.903473
383,51.28175
384,48.914715
385,46.39663
386,44.67658
387,44.303078
388,44.858723
389,45.653694
390,46.059067
391,45.555862
392,43.916832
393,41.42845
394,38.643845
395,36.362965
396,35.481922
397,36.37108
398,38.504868
399,41.150257
400,43.674316
401,45.67817
402,47.233593
403,48.844406
404,50.869553
405,53.225975
406,54.985985
407,54.028027
408,47.72155
409,34.020355
410,12.00481
411,-17.905186
412,-54.5499
413,-97.12449
414,-144.97353
415,-197.37857
416,-253.47191
417,-311.94305
418,-370.7746
419,-427.5672
420,-12.871609
421,0.102471456
422,-16.307358
423,-17.042278
424,-2.060236
425,-1.3367296
426,-19.085426
427,-18.02751
428,-16.61845
429,-33.461826
430,-18.992374
431,-33.660206
432,-17.87194
433,-16.960535
434,-31.190994
435,-30.788593
436,-30.938814
437,-31.665253
438,-17.82128
439,-34.358425
440,-21.260307
441,-23.482489
442,-25.828215
443,-27.898125
444,-28.04976
445,-41.0
446,-26.0
447,-26.0
448,-40.80416
449,-38.809547
450,-19.869835
451,-17.46145
452,-15.281853
453,-28.577906
454,-27.538773
455,-12.394575
456,-13.384084
457,-30.440527
458,-18.08125
459,-20.908173
460,-23.496738
461,-25.401808
462,-41.465595
463,-26.93186
464,-41.912323
465,-41.45576
466,-40.84981
467,-40.33578
468,-24.917727
469,-40.183723
470,-26.124699
471,-26.676981
472,-26.0
473,-26.0
474,-41.0
475,-41.0
476,-26.0
477,34.85853
478,51.674427
479,53.502007
480,53.650417
481,52.90497
482,51.291542
483,48.9563
484,46.524265
485,44.97863
486,44.8831
487,45.814648
488,47.07464
489,48.06198
490,48.366364
491,47.918484
492,47.08133
493,46.359627
494,46.330624
495,47.459366
496,49.632744
497,52.07544
498,54.012333
499,54.97788
500,54.909737
501,53.986588
502,52.12623
503,48.704494
504,42.38029
505,30.84042
506,11.175394
507,-18.754591
508,-59.861378
509,-111.53558
510,-171.57903
511,-237.30296
512,-307.0085
513,-379.339
514,3.0394373
515,-15.635314
516,-18.973711
517,-21.889284
518,-9.29922
519,-11.131377
520,-12.325286
521,-12.836065
522,-12.637608
523,-11.72341
524,-10.103368
525,-12.764802
526,-27.373987
527,-24.869942
528,-25.569452
529,-40.014675
530,-23.743492
531,-22.200155
532,-20.705767
533,-34.485558
534,-18.72031
535,-33.5574
536,-18.98485
537,-19.832449
538,-21.054642
539,-22.640133
540,-24.545591
541,-26.569609
542,-42.758595
543,-27.02688
544,-41.0
545,-26.0
546,-26.0
547,-25.246044
548,-22.36633
549,-18.82069
550,-31.308884
551,-29.010511
552,-12.165318
553,-10.9625845
554,-10.632686
555,-11.41233
556,-13.24022
557,-15.650689
558,-33.253826
559,-35.637768
560,-22.378363
561,-38.32549
562,-38.703022
563,-23.63859
564,-23.206827
565,-37.504135
566,-21.757442
567,-36.308292
568,-21.386938
569,-22.205542
570,-24.024275
571,-42.180485
572,-43.754227
573,-26.0
574,-26.0
575,-26.0
576,-23.586811
577,-32.444664
578,-30.793453
579,-19.426151
580,-24.050037
581,-43.663982
582,-44.108784
583,-41.0
584,-26.0
585,34.85853
586,51.674427
587,53.50212
588,53.651485
589,52.910973
590,51.315304
591,49.02523
592,46.67894
593,45.260033
594,45.317097
595,46.410492
596,47.832825
597,48.988876
598,49.49569
599,49.305756
600,48.743767
601,48.226704
602,48.222183
603,49.11246
604,50.807945
605,52.68491
606,54.159348
607,54.92806
608,55.0166
609,54.63164
610,53.77866
611,52.05116
612,48.472916
613,41.220203
614,27.813595
615,6.2354364
616,-24.531775
617,-64.164314
618,-110.89166
619,-162.42107
620,-217.25175
621,-274.175
622,-332.04813
623,-389.78223
624,-446.0359
625,1.1651406
626,-15.989166
627,-2.6561089
628,-3.7835472
629,-19.327126
630,-19.252253
631,-18.534983
632,-2.1614935
633,-4.3958063
634,-32.80301
635,-15.779378
636,-32.13792
637,-17.316198
638,-16.743153
639,-15.790736
640,-29.757532
641,-13.883058
642,-13.377487
643,-13.419926
644,-14.038912
645,-30.098877
646,-16.54982
647,-18.369995
648,-20.51159
649,-22.785084
650,-39.815086
651,-41.24645
652,-26.744154
653,-41.075638
654,-24.407541
655,-22.262255
656,-19.912638
657,-17.484406
658,-30.071476
659,-12.844959
660,-11.055887
661,-9.905032
662,-9.627602
663,-10.461323
664,-27.349228
665,-29.831322
666,-17.51551
667,-19.988777
668,-21.82662
669,-22.873905
670,-38.346313
671,-38.368835
672,-23.015207
673,-22.381413
674,-21.694445
675,-36.297695
676,-21.425308
677,-37.293037
678,-24.164404
679,-42.254536
680,-43.65027
681,-41.0
682,-41.0
683,-41.0
684,-23.930191
685,-33.21585
686,-16.232746
687,-19.98819
688,-24.74075
689,-28.900936
690,-43.44812
691,-26.0
692,34.85853
693,51.67474
694,53.5041
695,53.660053
696,52.943356
697,51.41831
698,49.292694
699,47.250782
700,46.282192
701,46.876854
702,48.514324
703,50.42614
704,52.027397
705,53.0624
706,53.642933
707,54.066498
708,54.510727
709,54.943146
710,54.945393
711,53.57611
712,49.754597
713,42.782608
714,32.609768
715,19.851706
716,5.002898
717,-12.732322
718,-35.162514
719,-65.03494
720,-106.03372
721,-161.35277
722,-231.5049
723,-320.0269
724,-413.67502
725,-15.25111
726,-20.052902
727,-9.404445
728,-28.317936
729,-31.798813
730,-34.849216
731,-22.43319
732,-24.463154
733,-25.86632
734,-26.58942
735,-26.600752
736,-40.897163
737,-24.505684
738,-22.476929
739,-19.870687
740,-38.098633
741,-31.515839
742,-26.0
743,-26.0
744,-26.0
745,-41.0
746,-41.0
747,-41.0
748,-26.0
749,-26.0
750,-25.678102
751,-25.163973
752,-40.803257
753,-26.433626
754,-41.082016
755,-41.0
756,-26.0
757,-41.0
758,-26.0
759,-41.0
760,-26.0
761,-41.0
762,-41.0
763,-26.0
764,-26.0
765,-23.926533
766,-19.108019
767,-32.11337
768,-16.185658
769,-16.1672
770,-32.297626
771,-19.493587
772,-22.23837
773,-40.12941
774,-42.729626
775,-28.365566
776,-26.426113
777,-26.0
778,-41.0
779,-26.0
780,-41.0
781,-26.0
782,-41.0
783,-41.0
784,-26.0
785,-26.0
786,-41.0
787,34.85853
788,51.674557
789,53.502903
790,53.654366
791,52.91948
792,51.335392
793,49.064182
794,46.743614
795,45.354332
796,45.443176
797,46.576874
798,48.062683
799,49.327446
800,50.024372
801,50.163113
802,50.119694
803,50.31748
804,51.121193
805,52.624935
806,54.292717
807,55.081566
808,54.092854
809,50.898636
810,45.631184
811,38.528023
812,29.045206
813,15.780853
814,-3.6001325
815,-32.482483
816,-74.282295
817,-135.46292
818,-205.62048
819,-287.44583
820,-376.8424
821,-12.938833
822,-17.584997
823,-21.820642
824,-10.6460085
825,-14.060431
826,-32.029865
827,-19.471642
828,-36.310764
829,-37.486305
830,-37.954605
831,-22.696692
832,-36.721752
833,-35.0636
834,-17.770056
835,-35.90213
836,-45.980804
837,-28.709753
838,-26.0
839,-26.0
840,-26.0
841,-26.0
842,-26.0
843,-26.0
844,-25.370775
845,-39.09684
846,-24.31698
847,-40.281914
848,-41.47145
849,-26.828985
850,-26.0
851,-26.0
852,-26.0
853,-26.0
854,-41.0
855,-26.0
856,-41.0
857,-26.0
858,-26.0
859,-41.0
860,-23.925716
861,-19.13877
862,-32.2148
863,-16.317335
864,-16.335339
865,-17.509092
866,-34.75498
867,-37.553844
868,-25.500933
869,-28.15594
870,-43.469925
871,-26.012552
872,-26.0
873,-41.0
874,-41.0
875,-26.0
876,-41.0
877,-41.0
878,-41.0
879,-26.0
880,-41.0
881,34.85853
882,51.674427
883,53.502106
884,53.65126
885,52.90919
886,51.305748
887,48.988884
888,46.57442
889,45.021244
890,44.866554
891,45.676365
892,46.755177
893,47.50002
894,47.469788
895,46.54166
896,45.061527
897,43.586037
898,42.83176
899,43.487114
900,45.651825
901,48.614277
902,51.522003
903,53.712925
904,54.868824
905,54.991974
906,53.948406
907,51.013474
908,44.61839
909,32.068863
910,9.966088
911,-24.213974
912,-76.47858
913,-136.0022
914,-205.09598
915,-275.4275
916,-354.67175
917,-435.90042
918,-0.35728478
919,-19.116684
920,-7.4561377
921,-10.292029
922,-27.547197
923,-29.157887
924,-15.0763855
925,-15.276857
926,-14.756531
927,-28.531393
928,-11.628538
929,-29.216959
930,-23.896742
931,-41.06176
932,-41.464294
933,-25.672728
934,-39.234833
935,-22.588303
936,-21.039125
937,-19.797565
938,-19.033966
939,-18.889645
940,-34.34833
941,-35.2366
942,-21.508322
943,-23.152292
944,-25.12547
945,-42.224747
946,-42.910324
947,-41.36428
948,-41.0
949,-26.0
950,-26.0
951,-26.0
952,-24.268547
953,-34.976368
954,-17.370356
955,-15.151656
