timestep,reward
1,-5.116489
2,-4.4122562
3,0.95353097
4,-3.829491
5,1.2266483
6,1.0973855
7,0.750192
8,0.14698558
9,-0.73465693
10,-6.8016667
11,-7.7970066
12,-8.4540615
13,-3.5182886
14,-2.7871835
15,-1.319615
16,0.49357492
17,-2.7262893
18,3.671712
19,-0.61809295
20,-0.6560083
21,3.8484552
22,-1.7710242
23,2.8209245
24,2.932618
25,3.704663
26,5.05236
27,-149.68665
28,-84.79702
29,-29.49969
30,18.507744
31,48.81196
32,59.604885
33,52.8995
34,38.90931
35,13.599439
36,-14.902487
37,-46.341633
38,-82.58751
39,-126.95435
40,-181.31897
41,0.50839716
42,-4.214486
43,-12.8798065
44,-9.991286
45,-10.104744
46,-12.8706455
47,-8.05121
48,-0.48501697
49,-169.8733
50,-181.58546
51,3.2951655
52,-1.5984688
53,-7.371926
54,-13.425188
55,-24.093685
56,-23.653969
57,-26.360556
58,-26.535856
59,-28.899952
60,-24.486635
61,-20.39014
62,-12.969191
63,-13.470025
64,-23.224514
65,-32.416145
66,-44.150017
67,-46.98411
68,-48.891884
69,-41.5
70,-41.5
71,-41.5
72,-46.5
73,-45.689278
74,-37.0691
75,-33.0467
76,-32.893513
77,-33.717236
78,-40.628975
79,-38.633144
80,-47.297997
81,-48.753147
82,-41.620872
83,-46.5
84,-41.5
85,-45.604702
86,-36.910244
87,-32.908073
88,-38.02588
89,-41.43671
90,-42.331608
91,-49.62606
92,-41.5
93,-41.5
94,-46.5
95,-41.5
96,-46.5
97,-41.5
98,-41.5
99,-41.5
100,-41.5
101,-46.5
102,-46.5
103,-46.5
104,-41.5
105,-10.116488
106,0.5877436
107,0.9534576
108,1.1698035
109,1.2231792
110,1.0859858
111,0.72095054
112,0.083874546
113,-0.85435605
114,-2.007141
115,-3.1227276
116,-8.938355
117,-4.2025313
118,-8.715775
119,-7.540883
120,-6.074466
121,-4.699989
122,1.229484
123,1.4057891
124,-4.222146
125,-5.3371506
126,-1.5830514
127,-2.6069264
128,-8.085482
129,-2.8709056
130,-2.0478704
131,-5.711431
132,1.0535234
133,3.157456
134,-201.21268
135,-124.41242
136,-57.27705
137,-7.5377235
138,25.379948
139,50.029705
140,60.6707
141,59.695805
142,62.500397
143,52.618786
144,32.744785
145,2.5173452
146,-35.444023
147,-80.752045
148,-110.92378
149,-137.60939
150,-138.34572
151,-108.78797
152,-65.380356
153,-26.114828
154,-42.651974
155,-80.82802
156,-127.06504
157,-200.76735
158,-7.758917
159,-14.311778
160,-14.754847
161,-18.364706
162,-24.465597
163,-22.72341
164,-14.0291395
165,-10.387158
166,-13.244771
167,-8.927709
168,-13.79132
169,-28.03669
170,-44.81105
171,-50.19904
172,-46.524403
173,-46.5
174,-41.5
175,-41.5
176,-41.5
177,-44.093857
178,-33.451683
179,-31.37829
180,-31.221312
181,-37.06646
182,-39.008896
183,-42.0451
184,-45.74781
185,-43.302437
186,-42.774906
187,-41.5
188,-41.5
189,-44.784843
190,-35.032135
191,-32.02854
192,-32.135094
193,-40.520397
194,-46.99248
195,-50.29452
196,-41.5
197,-41.5
198,-46.5
199,-41.5
200,-41.5
201,-41.5
202,-46.5
203,-41.5
204,-41.5
205,-46.5
206,-41.5
207,-46.5
208,-41.5
209,-15.116488
210,0.5878461
211,-4.0454745
212,-3.8250313
213,1.2399243
214,1.1285971
215,0.81350356
216,0.26258743
217,-5.540228
218,-6.4960904
219,-7.3433275
220,-2.8110578
221,-2.6415892
222,-1.6327558
223,0.1527347
224,2.3202872
225,-0.5125176
226,-169.62837
227,-128.41524
228,-112.3048
229,-116.399185
230,-121.212296
231,-117.598335
232,-107.07535
233,-86.53256
234,-50.755306
235,-6.7802525
236,23.417046
237,48.70635
238,54.480972
239,48.62415
240,27.228529
241,4.4938807
242,-33.163754
243,-70.21043
244,-105.50891
245,-145.82744
246,-179.6972
247,2.1244628
248,-7.552333
249,-7.275896
250,-16.514454
251,-14.747643
252,-16.466515
253,-16.218527
254,-13.656757
255,-13.560046
256,-0.7911771
257,-0.7185126
258,1.001531
259,-7.5891304
260,-7.590978
261,-18.463394
262,-19.595226
263,-25.301338
264,-29.827084
265,-37.3903
266,-37.29054
267,-29.285574
268,-24.565691
269,-25.367685
270,-23.00651
271,-18.672304
272,-23.695597
273,-38.265865
274,-54.027935
275,-47.06751
276,-41.5
277,-46.5
278,-41.5
279,-46.5
280,-41.5
281,-41.5
282,-46.5
283,-40.346664
284,-38.115585
285,-43.777035
286,-40.934288
287,-47.6164
288,-41.845226
289,-41.5
290,-46.5
291,-46.5
292,-41.5
293,-41.5
294,-46.5
295,-40.7219
296,-44.6183
297,-46.230503
298,-47.334957
299,-41.5
300,-46.5
301,-41.5
302,-46.5
303,-41.5
304,-41.5
305,-10.116488
306,0.5877436
307,-4.046542
308,-3.830122
309,-3.77598
310,1.0903747
311,0.7360061
312,-4.8769517
313,-0.7700564
314,-1.8489131
315,-7.8547263
316,-3.5191588
317,-3.5869913
318,-2.857098
319,-6.392495
320,-4.589965
321,2.1659262
322,-1.4786311
323,4.166855
324,-0.96106136
325,-1.5739155
326,2.6593912
327,2.0717225
328,-3.0290298
329,2.4988923
330,-1.4272884
331,5.094568
332,-151.67407
333,-87.94257
334,-26.02738
335,13.479467
336,42.768726
337,62.08939
338,64.419716
339,59.06076
340,48.965992
341,34.875057
342,15.695836
343,-16.120258
344,-52.710255
345,-97.81668
346,-142.286
347,-189.65672
348,2.329113
349,1.3161823
350,2.5699334
351,-198.87833
352,-137.02376
353,-83.31417
354,-99.23559
355,-134.58192
356,-189.47021
357,-6.2743926
358,-7.86421
359,-14.046408
360,-24.106186
361,-27.307487
362,-27.972523
363,-20.7938
364,-21.734081
365,-12.846626
366,-15.541165
367,-16.106739
368,-15.886869
369,-25.073399
370,-46.79406
371,-51.023407
372,-50.343403
373,-41.5
374,-46.5
375,-46.5
376,-46.5
377,-39.78173
378,-35.002964
379,-32.117344
380,-31.975622
381,-37.83173
382,-34.78825
